prot1,prot2,str_score,protpep_score,str_max_score,red_score,ort_score,phy_score,coexp_score,go_score,total_score,final_score,Match,Match2
A5A3E0,O15205,25.2364,0.0,25.2364,19.2898,0.6153,2.013,1.1757,0.0,708.8960000000001,708.8960000000001,True,True
O00444,O14543,5.4987,23.7134,23.7134,3.1239999999999997,0.6153,2.416,1.1757,181.01,23436.2,23436.2,True,True
O15178,O14543,1.7387,23.2116,23.2116,2.0764,0.0,2.416,1.5818,10.8,1989.25,1989.25,True,True
O15020,O15498,25.2364,2.60197,25.2364,0.0,0.6153,2.013,2.1077,10.8,711.5260000000001,711.5260000000001,True,True
O43318,O00506,99.2027,7.40526,99.2027,4.2492,0.6153,2.416,2.1077,2.07,2733.97,2733.97,True,True
O00231,O60907,2.2022,4.94562,4.94562,2.3254,9.2808,2.013,3.9008,10.8,9051.59,9051.59,True,True
O00555,O75553,3.1219,15.35,15.35,2.3254,0.0,2.416,5.6875,105.17,51584.1,51584.1,True,True
O00144,O14745,1.8315,17.2428,17.2428,2.3254,0.0,2.416,1.5818,10.8,1654.92,1654.92,True,True
O43174,O15528,50.7951,0.0,50.7951,0.7707,0.6153,2.416,1.1757,181.01,12384.8,12384.8,True,True
O15151,O60858,11.9953,3.52956,11.9953,2.3588,0.0,2.416,5.6875,5.86,2278.34,2278.34,True,True
B4DX44,A8K8V0,130.17,0.0,130.17,0.0,5.5574,1.1933,0.8888,0.0,767.2489999999999,767.2489999999999,True,True
O43242,O15357,3.1848,16.7401,16.7401,2.3254,0.0,1.5978,5.6875,5.86,2072.99,2072.99,True,True
O14617,O00505,25.2364,12.7524,25.2364,0.5125,0.6153,2.416,5.6875,5.86,640.802,640.802,True,True
O15169,O60336,4.5731,5.24327,5.24327,2.3254,0.6153,2.416,2.7714,24.11,1211.1,1211.1,True,True
O00602,O00602,260.209,0.0,260.209,1.3730000000000002,5.2693,0.0,0.0,0.0,1882.54,3392430.0,True,True
O14979,O60749,18.9532,0.0,18.9532,2.3254,0.6153,2.416,45.2798,0.0,2966.67,2966.67,True,True
O15247,O75311,15.2533,2.59,15.2533,0.0,0.0,2.416,2.1077,69.61,5406.81,5406.81,True,True
O15392,O15498,4.5731,0.0,4.5731,0.5125,0.0,2.013,5.6875,24.11,646.944,646.944,True,True
O15392,O15350,3.1219,12.327,12.327,3.1239999999999997,0.0,2.013,1.5818,5.86,718.557,718.557,True,True
A6NNE9,O15034,0.0,161.514,161.514,0.0,0.0,2.416,2.1077,0.0,822.462,822.462,True,True
O00571,O60216,1.6503,4.96,4.96,4.0064,0.0,2.416,45.2798,0.0,2173.89,2082200.0,True,True
O14617,O14863,1.2142,4.96,4.96,0.9127,0.6153,2.013,1.5818,181.01,1605.44,1605.44,True,True
O14757,O60307,169.09799999999998,25.2717,169.09799999999998,2.4090000000000003,0.6153,2.013,2.1077,2.07,2201.33,2201.33,True,True
O15178,O43435,99.2027,0.0,99.2027,0.0,0.6153,0.0,2.7714,10.8,1826.98,1826.98,True,True
O15357,O00506,25.2364,5.43,25.2364,4.2492,0.6153,2.416,5.6875,0.0,906.65,906.65,True,True
O00189,O00629,38.5167,8.950239999999999,38.5167,1.2535,0.0,2.013,1.5818,5.86,900.8789999999999,900.8789999999999,True,True
O14976,O15021,113.094,10.3763,113.094,0.9127,0.6153,2.416,2.7714,2.07,880.279,880.279,True,True
O43248,O75581,4.5731,0.0,4.5731,0.7707,0.0,2.416,1.1757,69.61,696.885,696.885,True,True
O15041,O15041,259.966,0.0,259.966,0.0,5.2693,2.416,0.0,0.0,3309.53,3309.53,True,True
O15354,O14718,168.4,0.0,168.4,1.1877,0.0,2.416,2.1077,0.0,1018.48,1018.48,True,True
O14965,O60733,99.2027,2.59,99.2027,2.3254,0.6153,2.416,2.1077,0.0,722.793,722.793,True,True
O43296,B4DX44,130.17,0.0,130.17,0.0,5.5574,0.0,1.1757,0.0,850.51,850.51,True,True
B1AK53,O43294,113.094,0.0,113.094,0.0,0.6153,2.416,2.1077,2.07,733.503,733.503,True,True
O15169,O14640,260.209,10.3763,260.209,0.5125,318.613,2.416,9.4687,24.11,23434900.0,108000000000.0,True,True
O00175,B1AK53,4.5731,62.31,62.31,0.7707,0.0,2.013,2.7714,10.8,2893.41,2893.41,True,True
O15294,O60264,2.7953,84.9753,84.9753,0.0,0.6153,2.416,18.4426,2.07,4822.46,4822.46,True,True
B9A064,O15205,25.2364,0.0,25.2364,20.9141,0.0,0.0,2.1077,0.0,1112.44,1112.44,True,True
O43390,O43395,1.8315,0.0,1.8315,3.8142,0.0,2.416,9.4687,5.86,936.4730000000001,936.4730000000001,True,True
O15075,O43166,5.0523,9.80166,9.80166,0.5125,0.6153,2.416,1.5818,69.61,822.2439999999999,822.2439999999999,True,True
O43390,O14978,25.2364,0.0,25.2364,3.8142,0.0,2.013,3.9008,0.0,755.837,755.837,True,True
O43293,O15197,99.2027,5.705430000000001,99.2027,1.2535,0.6153,2.416,2.1077,2.07,806.512,806.512,True,True
O43255,O43255,997.34,0.0,997.34,1.0145,9.7902,0.0,0.0,0.0,9905.74,9487920.0,True,True
O14763,O14763,130.17,0.0,130.17,0.9127,5.052,0.0,0.0,0.0,600.2090000000001,600.2090000000001,True,True
O43390,O00629,99.2027,5.22,99.2027,0.0,0.0,2.416,45.2798,0.0,10852.4,10852.4,True,True
O00499,O15525,43.0172,9.73115,43.0172,2.4090000000000003,0.0,2.416,3.9008,0.89,869.2,869.2,True,True
O14494,O00443,1.8563,6.3442099999999995,6.3442099999999995,0.0,0.6153,2.416,5.6875,24.11,1293.24,1293.24,True,True
O15211,O75385,2.9486,7.3468800000000005,7.3468800000000005,1.7951,0.0,2.416,2.7714,10.8,953.699,953.699,True,True
O14757,O14578,169.09799999999998,14.0753,169.09799999999998,2.4090000000000003,0.6153,2.416,45.2798,5.86,160680.0,160680.0,True,True
O15467,B1AK53,25.2364,10.3763,25.2364,0.7707,0.0,2.013,2.7714,5.86,635.8480000000001,635.8480000000001,True,True
O14593,O14593,260.209,0.0,260.209,0.0,0.6153,2.416,0.0,0.0,386.81699999999995,370501.0,True,True
O14957,O60499,99.2027,2.59,99.2027,0.0,0.0,2.013,5.6875,0.0,1135.77,1135.77,True,True
O14672,O15230,5.4987,0.0,5.4987,0.0,0.0,2.416,1.1757,69.61,1087.24,1087.24,True,True
A6NCL7,A6NGH8,1652.32,0.0,1652.32,1.5513,0.6153,2.013,1.1757,0.0,3732.65,3732.65,True,True
O15379,O00459,1.8315,23.2116,23.2116,4.2492,0.6153,1.5978,3.9008,5.86,2216.53,2216.53,True,True
O14965,O14757,131.69299999999998,6.7087,131.69299999999998,3.1239999999999997,9.7902,2.013,38.174,5.86,1813740.0,1813740.0,True,True
O43143,O60884,5.0523,0.0,5.0523,2.3254,9.2808,2.013,45.2798,0.0,9938.49,9938.49,True,True
O14926,O60861,3.1848,3.67486,3.67486,0.7707,0.0,2.013,1.5818,69.61,627.759,627.759,True,True
O00187,O14788,18.4132,3.52956,18.4132,0.5125,0.0,2.416,2.7714,24.11,1523.41,1523.41,True,True
O43313,O15350,25.2364,0.0,25.2364,2.3254,0.0,0.0,2.7714,5.86,953.064,953.064,True,True
O43347,O14512,2.5372,20.686,20.686,0.0,0.0,2.416,5.6875,5.86,1665.68,1665.68,True,True
O14640,O60907,4.5731,2.24017,4.5731,0.0,3.1392,2.013,1.5818,24.11,1102.1,1102.1,True,True
A6NCL7,A6NI47,299.41900000000004,0.0,299.41900000000004,1.5513,0.0,1.5978,0.8888,0.0,659.633,659.633,True,True
O00255,O75381,0.0,6.772480000000001,6.772480000000001,2.4090000000000003,0.0,1.5978,9.4687,69.61,17181.8,17181.8,True,True
C9JTQ0,E5RJM6,1652.32,0.0,1652.32,1.3730000000000002,0.0,1.1933,0.4364,0.0,1181.41,1181.41,True,True
O00268,O00268,4.5731,0.0,4.5731,0.0,5.2693,2.416,0.0,0.0,58.2184,55762.7,True,True
O14964,O00562,2.0697,5.43,5.43,4.2492,0.0,2.416,18.4426,0.0,1028.08,1028.08,True,True
O00161,O75558,0.0,3.86531,3.86531,1.2535,0.6153,2.013,2.7714,24.11,400.99199999999996,1854840.0,True,True
O14901,O43294,30.3442,0.0,30.3442,1.2535,0.6153,2.416,2.1077,5.86,698.378,698.378,True,True
O15085,O43236,45.9762,5.24327,45.9762,0.9127,0.6153,2.416,3.9008,69.61,16938.3,16938.3,True,True
O14763,O15205,4.803999999999999,0.0,4.803999999999999,20.9141,0.0,1.5978,1.5818,24.11,6122.28,6122.28,True,True
O15524,O15273,9.7337,20.7293,20.7293,3.1239999999999997,0.0,2.416,2.7714,2.07,897.557,897.557,True,True
O15530,O14939,23.8643,6.7087,23.8643,1.7092,0.6153,2.013,2.7714,10.8,1512.15,1512.15,True,True
O15230,O15230,260.209,0.0,260.209,0.0,13.3811,2.416,0.0,0.0,8412.22,8412.22,True,True
O14924,O43566,66.1952,17.2428,66.1952,0.0,0.0,2.416,2.7714,24.11,10686.1,10686.1,True,True
A6NM03,O60431,23.3135,0.0,23.3135,0.7707,5.2693,2.416,2.1077,5.86,2825.2,2825.2,True,True
A6NK59,O14974,1652.32,0.0,1652.32,1.0145,0.6153,2.416,0.7126,0.0,1775.73,1775.73,True,True
O14744,O00444,25.2364,4.144019999999999,25.2364,2.4090000000000003,0.6153,2.013,9.4687,10.8,7700.32,7700.32,True,True
O15392,O14737,18.4132,12.327,18.4132,1.2535,0.0,2.013,18.4426,2.07,1773.74,1773.74,True,True
C9JJ37,O43791,826.188,3.51,826.188,0.9127,0.0,2.013,0.8888,0.0,1349.13,1349.13,True,True
O14561,O43677,0.0,0.0,0.0,0.0,3.1392,1.5978,45.2798,69.61,15809.5,15809.5,True,True
O00139,O43663,0.9682,3.84,3.84,0.9127,0.6153,2.013,9.4687,105.17,4322.87,4322.87,True,True
O14578,O00506,99.2027,14.0753,99.2027,3.8142,0.6153,2.416,2.1077,2.07,2454.09,2454.09,True,True
O15145,O00560,1.4802,3.52956,3.52956,1.0145,0.0,1.5978,18.4426,5.86,618.322,618.322,True,True
O15438,O60499,99.2027,3.51,99.2027,0.0,0.0,2.416,2.7714,0.0,664.232,664.232,True,True
O14594,O60939,61.2858,0.0,61.2858,0.9127,0.0,2.416,18.4426,5.86,14605.1,14605.1,True,True
O14494,O14495,42.8396,0.0,42.8396,1.1877,0.6153,0.0,9.4687,181.01,53657.7,53657.7,True,True
O00560,O00401,5.0523,7.40526,7.40526,1.7092,0.0,2.416,9.4687,5.86,1696.75,7848550.0,True,True
O00255,O75385,4.5731,7.132289999999999,7.132289999999999,2.0764,0.0,2.013,3.9008,10.8,1255.92,1255.92,True,True
O15304,O15273,0.0,5.22,5.22,1.7092,0.0,0.0,2.1077,0.0,18.805,18011.8,True,True
B7Z6K7,B4DU55,130.17,0.0,130.17,0.0,5.5574,2.013,2.1077,0.0,3069.27,3069.27,True,True
O00194,O14827,99.2027,2.60197,99.2027,0.5125,0.6153,2.416,1.5818,5.86,700.568,700.568,True,True
O14647,O14980,12.8482,0.0,12.8482,3.5815,0.0,2.013,18.4426,0.0,1708.34,1708.34,True,True
A6NHY2,O60733,299.41900000000004,0.0,299.41900000000004,1.3730000000000002,0.6153,2.416,1.1757,0.0,718.507,718.507,True,True
O14965,O00410,7.763,3.66,7.763,2.0764,9.7902,2.013,9.4687,0.0,3007.92,3007.92,True,True
O00358,O14543,2.2022,23.2116,23.2116,2.0764,0.0,1.1933,3.9008,10.8,2422.94,2422.94,True,True
O43237,O14980,20.4939,0.0,20.4939,4.2492,0.0,2.013,9.4687,0.0,1659.84,1659.84,True,True
O14879,O14879,444.564,0.0,444.564,1.3730000000000002,3.3154,2.416,0.0,0.0,4889.2,22615700.0,True,True
O00555,O15198,2.4771,0.0,2.4771,2.0764,0.0,2.416,2.1077,24.11,631.477,631.477,True,True
O00182,O00754,2.6756,0.0,2.6756,0.0,0.0,1.5978,5.6875,0.0,24.3145,23288.9,True,True
O43303,O00444,0.0,6.0991,6.0991,0.9127,0.0,2.416,9.4687,181.01,23050.7,23050.7,True,True
A4D2P6,O15021,444.564,7.37,444.564,0.0,0.0,2.416,2.1077,0.0,2263.81,2263.81,True,True
O43248,O60902,130.17,0.0,130.17,0.0,0.6153,2.416,2.1077,5.86,2390.02,2390.02,True,True
O15234,O43639,0.0,30.4453,30.4453,0.9127,0.0,2.416,2.7714,10.8,2009.41,2009.41,True,True
O43296,A8K8V0,99.2027,2.60197,99.2027,0.0,5.5574,2.416,2.1077,0.89,2498.57,2498.57,True,True
O43320,O14512,3.1848,23.2116,23.2116,0.0,0.0,2.416,2.7714,5.86,910.7489999999999,910.7489999999999,True,True
B2RXH2,B2RXH2,119.281,0.0,119.281,0.0,5.5574,2.416,0.0,0.0,1601.54,1601.54,True,True
O43364,O14649,10.255,0.0,10.255,1.1877,0.0,2.013,2.1077,24.11,1245.93,1245.93,True,True
O00148,O00566,0.0,5.24327,5.24327,0.0,0.6153,2.013,18.4426,24.11,2887.7,2887.7,True,True
O15162,O43581,2.6756,3.84,3.84,1.2535,0.0,2.416,0.7126,105.17,871.546,871.546,True,True
O15347,O43390,2.6756,3.84,3.84,3.8142,0.0,2.416,18.4426,0.0,652.61,652.61,True,True
O14832,O00628,1.4802,2.43528,2.43528,0.0,0.6153,1.5978,5.6875,10.8,147.063,680260.0,True,True
O00541,O00444,1.8315,14.2424,14.2424,0.9127,0.6153,2.416,5.6875,5.86,644.0419999999999,644.0419999999999,True,True
O43390,O00487,4.5712,0.0,4.5712,4.2492,0.6153,1.1933,45.2798,0.0,645.771,645.771,True,True
O15371,O60216,0.0,0.0,0.0,1.7092,0.0,2.416,5.6875,0.0,23.4861,22495.5,True,True
O43290,O14543,0.0,34.1624,34.1624,2.3254,0.0,2.013,1.5818,5.86,1482.31,1482.31,True,True
O14908,O00233,41.6534,4.98492,41.6534,1.7951,0.0,0.0,2.1077,10.8,1702.05,1702.05,True,True
O14964,O60493,5.0523,0.0,5.0523,4.0064,0.6153,2.013,2.1077,0.0,52.8424,50613.5,True,True
O15264,O14593,61.2858,6.024830000000001,61.2858,0.5125,0.6153,2.416,2.1077,10.8,1062.85,1062.85,True,True
A5D8T8,O00462,4.9159,0.0,4.9159,0.0,0.0,2.013,1.1757,0.0,11.6344,11143.7,True,True
O14640,O75051,2.6756,4.98492,4.98492,0.0,0.0,2.416,3.9008,24.11,1132.68,1132.68,True,True
O43293,O14974,99.2027,7.37,99.2027,1.7092,0.6153,2.416,2.1077,0.0,531.262,54473.5,True,True
O43307,O00512,0.0,84.9753,84.9753,0.0,0.0,2.416,3.9008,0.89,712.7439999999999,712.7439999999999,True,True
O43175,O43776,1.8315,15.2711,15.2711,1.0145,0.0,1.5978,5.6875,5.86,825.0189999999999,825.0189999999999,True,True
O00423,O00423,25.2364,1.5220799999999999,25.2364,1.5513,0.6153,2.416,0.0,0.0,58.1979,55743.1,True,True
O00623,O75381,1.8315,11.4911,11.4911,0.0,3.1392,2.416,1.5818,181.01,24953.5,23901000.0,True,True
O43347,O14543,5.0523,20.686,20.686,0.0,0.0,2.416,2.7714,5.86,811.653,811.653,True,True
O14686,O43294,10.1121,0.0,10.1121,0.0,0.0,2.416,1.1757,24.11,692.52,692.52,True,True
O14646,O60907,6.9797,5.4591199999999995,6.9797,0.0,9.2808,2.416,3.9008,2.07,1263.7,1263.7,True,True
O00505,O14980,5.4412,3.52956,5.4412,3.5815,0.6153,2.013,45.2798,5.86,6404.61,6404.61,True,True
O43150,O15068,66.1952,21.035,66.1952,1.7951,0.0,2.416,1.1757,5.86,1977.91,1977.91,True,True
O14964,O14662,10.255,3.52956,10.255,4.0064,3.1392,2.416,3.9008,24.11,29306.0,29306.0,True,True
O00187,A6NI28,253.71599999999998,0.0,253.71599999999998,0.0,0.0,2.416,2.1077,0.0,1291.97,1291.97,True,True
O43283,O75116,253.71599999999998,6.73805,253.71599999999998,0.9127,0.6153,2.416,2.7714,2.07,1974.83,1974.83,True,True
O15085,O15357,4.5731,23.2116,23.2116,2.3254,0.6153,2.416,5.6875,5.86,2674.27,2674.27,True,True
A6NFD8,O43612,0.0,0.0,0.0,0.0,0.0,2.013,18.4426,24.11,895.0830000000001,895.0830000000001,True,True
O14936,O14980,17.0818,4.96,17.0818,4.2492,0.6153,2.013,9.4687,0.0,851.2589999999999,851.2589999999999,True,True
O43159,O60264,4.5731,0.0,4.5731,2.3254,0.6153,1.5978,5.6875,181.01,10763.2,10763.2,True,True
O14662,O60763,5.9867,3.86531,5.9867,1.2535,9.7902,2.416,9.4687,10.8,18151.6,18151.6,True,True
O00468,O14640,4.803999999999999,5.24327,5.24327,0.0,0.6153,2.416,9.4687,181.01,13359.2,13359.2,True,True
O00237,O60858,1.5568,0.0,1.5568,0.9127,0.0,2.416,5.6875,105.17,2053.39,2053.39,True,True
O14964,O60291,2.0697,5.24327,5.24327,0.0,0.0,2.416,9.4687,24.11,2891.92,2891.92,True,True
O14978,A8K8V0,260.209,3.86531,260.209,0.0,5.2693,2.416,2.1077,0.89,6213.99,6213.99,True,True
O14641,O75386,1.4802,3.52956,3.52956,1.0145,0.0,2.416,3.9008,69.61,2349.06,2349.06,True,True
O15085,O00194,84.9724,5.4591199999999995,84.9724,0.9127,0.6153,2.013,1.1757,5.86,661.806,661.806,True,True
O43143,O60508,1.8531,1.9736200000000002,1.9736200000000002,2.3254,9.2808,2.013,45.2798,5.86,22750.6,22750.6,True,True
O14893,O75554,1.8315,9.400089999999999,9.400089999999999,0.0,0.0,2.013,9.4687,24.11,4319.8,4319.8,True,True
O43187,O14545,0.0,4.58774,4.58774,0.9127,0.0,2.416,2.7714,24.11,675.959,675.959,True,True
O00180,O00180,99.2027,0.0,99.2027,1.774,0.6153,0.0,0.0,0.0,108.28399999999999,500883.0,True,True
O00330,O60518,4.5731,0.0,4.5731,0.9127,9.7902,2.013,18.4426,0.0,1517.04,1517.04,True,True
O15530,O43581,4.5731,4.35487,4.5731,1.7092,0.6153,2.013,2.7714,105.17,2821.79,2821.79,True,True
O14641,O60542,3.1219,9.80166,9.80166,1.7092,0.0,2.416,1.5818,10.8,691.456,691.456,True,True
O14976,O00291,4.5731,2.59,4.5731,0.9127,0.6153,2.416,3.9008,0.0,24.2034,111956.0,True,True
A6QL64,O00522,299.41900000000004,5.24327,299.41900000000004,0.5125,0.0,2.013,5.6875,0.0,1756.87,1756.87,True,True
O15524,O43829,25.2364,13.0046,25.2364,2.3254,0.0,2.416,2.7714,2.07,813.3760000000001,813.3760000000001,True,True
O00142,O60502,1.5396,0.0,1.5396,0.0,0.0,2.416,3.9008,105.17,1525.99,1525.99,True,True
O15553,O75385,4.5731,7.37,7.37,0.5125,0.0,2.416,1.5818,0.0,14.4348,13825.9,True,True
O00213,O43294,11.1057,19.8804,19.8804,1.0145,0.0,2.013,2.7714,5.86,659.3530000000001,659.3530000000001,True,True
A6NK53,A6NJL1,99.2027,0.0,99.2027,0.0,5.052,2.013,1.1757,0.0,1186.12,1186.12,True,True
O14521,O75348,99.2027,0.0,99.2027,0.9127,0.0,1.5978,9.4687,0.0,1369.82,1369.82,True,True
A6NJG6,O14529,260.209,0.0,260.209,1.3730000000000002,0.0,2.013,1.5818,0.89,1012.46,1012.46,True,True
O00311,O43639,4.5731,20.6694,20.6694,2.3588,0.0,2.416,1.1757,5.86,811.54,811.54,True,True
O14920,O15357,7.7952,14.0845,14.0845,2.4090000000000003,0.6153,2.416,5.6875,5.86,1681.05,1681.05,True,True
O15230,O00560,2.6756,6.7087,6.7087,0.0,0.0,2.416,1.5818,24.11,618.136,618.136,True,True
O14965,O00425,6.9797,6.4477199999999995,6.9797,1.2535,0.6153,2.416,5.6875,5.86,433.475,415191.0,True,True
A4D1S5,O14807,253.71599999999998,0.0,253.71599999999998,3.7904,0.6153,2.013,1.1757,0.0,1400.43,1400.43,True,True
A6NND4,A6NH00,45.9762,0.0,45.9762,0.7707,5.2693,2.416,2.1077,0.0,950.7739999999999,950.7739999999999,True,True
E5RJM6,B1AK53,1652.32,0.0,1652.32,1.5513,0.0,1.5978,5.6875,0.0,23293.5,23293.5,True,True
O14625,O15205,4.5731,0.0,4.5731,20.9141,0.0,1.5978,9.4687,0.0,1446.98,1446.98,True,True
O00213,O75385,5.0295,10.4295,10.4295,1.2535,0.6153,2.416,2.1077,24.11,987.592,987.592,True,True
A6ND91,O75038,3.6164,5.4591199999999995,5.4591199999999995,0.0,0.0,2.013,18.4426,10.8,2188.83,2188.83,True,True
O43353,O60602,1.9487,3.67486,3.67486,1.2535,0.6153,2.013,1.5818,105.17,949.16,949.16,True,True
O15528,O15296,1.02,0.0,1.02,0.0,0.0,2.416,3.9008,69.61,669.148,669.148,True,True
O00189,O14964,6.0007,9.966000000000001,9.966000000000001,3.8142,0.0,2.013,3.9008,5.86,1749.12,1749.12,True,True
O00213,O75478,1.8315,9.38043,9.38043,2.0764,0.0,2.013,1.1757,69.61,3208.82,3208.82,True,True
O15162,O14543,4.803999999999999,20.7293,20.7293,2.3254,0.0,2.013,9.4687,5.86,5384.11,5384.11,True,True
O14896,O60437,1.2142,0.0,1.2142,0.0,0.0,2.416,9.4687,24.11,669.691,669.691,True,True
A4D2G3,A6NND4,30.3442,0.0,30.3442,0.7707,5.2693,0.0,2.1077,5.86,1522.02,1522.02,True,True
O00238,O15347,2.6756,5.43,5.43,2.3254,9.7902,2.416,3.9008,0.0,1165.04,1165.04,True,True
O15116,O00401,12.2069,0.0,12.2069,2.3588,0.0,2.013,2.7714,0.0,160.635,153859.0,True,True
O14964,O14964,151.406,3.86531,151.406,4.0064,606.3919999999999,2.416,0.0,0.0,888687.0,888687.0,True,True
O00305,O14640,7.763,7.40526,7.763,0.0,0.0,2.416,1.5818,105.17,3120.11,3120.11,True,True
O00443,O75400,5.3229999999999995,0.0,5.3229999999999995,2.3254,0.0,2.416,45.2798,0.0,1354.11,1354.11,True,True
A6NFQ7,O00506,99.2027,3.84,99.2027,4.0064,0.0,2.013,0.8888,0.0,711.092,711.092,True,True
O15382,O15382,1904.79,0.0,1904.79,0.7707,15.4815,0.0,0.0,0.0,22727.2,105128000.0,True,True
O00305,B1AK53,1.8315,84.9753,84.9753,0.7707,0.0,2.416,2.1077,5.86,1954.26,1954.26,True,True
A8MTJ3,O14921,997.34,0.0,997.34,0.0,5.2693,2.416,1.1757,0.89,13285.6,13285.6,True,True
O15209,O15209,210.176,0.0,210.176,0.0,13.3811,2.416,0.0,0.0,6794.73,6794.73,True,True
O15116,O75554,3.1848,2.84462,3.1848,1.2535,0.0,1.5978,5.6875,24.11,874.677,874.677,True,True
O15392,O60232,0.0,8.37556,8.37556,1.7092,0.0,2.013,3.9008,5.86,658.721,658.721,True,True
O00170,O60499,11.1057,3.67486,11.1057,0.9127,0.0,2.416,18.4426,5.86,2646.61,2646.61,True,True
O00555,O43815,1.3385,8.950239999999999,8.950239999999999,0.0,0.6153,2.416,1.1757,69.61,1088.9,1088.9,True,True
O00555,O15273,1.8315,5.22,5.22,2.4090000000000003,0.0,2.416,3.9008,105.17,12463.8,12463.8,True,True
O15144,O75529,119.281,0.0,119.281,0.0,0.6153,1.5978,5.6875,0.0,666.962,666.962,True,True
O14718,O60431,169.09799999999998,0.0,169.09799999999998,1.1877,0.0,2.013,2.1077,2.07,1763.87,1763.87,True,True
O14939,O00401,23.3135,5.22,23.3135,2.3588,0.0,2.416,2.7714,2.07,762.193,762.193,True,True
O14561,O75306,1.02,0.0,1.02,0.9127,3.1392,1.5978,45.2798,69.61,14717.9,14717.9,True,True
O14672,O14543,1.9487,20.686,20.686,0.9127,0.0,2.416,1.5818,24.11,1739.6,1739.6,True,True
O14646,O60841,2.5395,9.75,9.75,0.0,0.6153,2.416,45.2798,0.0,656.2860000000001,656.2860000000001,True,True
O15118,O60749,18.59,3.67486,18.59,0.0,0.0,2.416,2.7714,5.86,729.4119999999999,729.4119999999999,True,True
O43365,O14543,1.7387,23.2602,23.2602,2.3254,0.0,2.416,2.7714,10.8,3911.39,3911.39,True,True
O00303,O60216,1.8315,3.84,3.84,3.5815,0.6153,2.013,9.4687,0.0,161.29399999999998,154491.0,True,True
A7KAX9,O14544,11.9953,30.3574,30.3574,3.7695,0.0,2.416,2.7714,0.89,681.922,681.922,True,True
O15117,O60880,33.1143,30.4501,33.1143,3.7695,0.0,2.416,9.4687,2.07,5910.95,27341900.0,True,True
O14641,O15350,6.9797,3.52956,6.9797,1.2535,0.0,2.416,3.9008,10.8,890.503,890.503,True,True
O00471,O00505,3.4243,84.9753,84.9753,0.0,0.0,2.416,18.4426,2.07,7837.58,7837.58,True,True
