Prot1,Prot2,Binding_Score,PDBs
Q12913,P28827,10.875684,Q12913_P28827.pdb
Q13873,P35916,19.841273,Q13873_P35916.pdb
Q86WK6,Q9BZA7,-3.165383,Q86WK6_Q9BZA7.pdb
Q9Y6N8,Q9Y5G9,3.829607,Q9Y6N8_Q9Y5G9.pdb
P29017,P01732,310.432338,P29017_P01732.pdb
P55283,P16109,21.359305,P55283_P16109.pdb
Q9Y5H0,Q9Y5G3,-4.889188,Q9Y5H0_Q9Y5G3.pdb
Q9Y5G2,Q9Y5G1,-4.962045,Q9Y5G2_Q9Y5G1.pdb
P05556,P78504,505.297082,P05556_P78504.pdb
P58400,Q9P2S2,5.992266,P58400_Q9P2S2.pdb
P54762,P22607,15.976423,P54762_P22607.pdb
Q8N6Y1,O95206,-5.459738,Q8N6Y1_O95206.pdb
Q9Y5G9,Q9Y5F9,-5.244741,Q9Y5G9_Q9Y5F9.pdb
P09564,P10966,-4.481387,P09564_P10966.pdb
P42702,P16581,15.843482,P42702_P16581.pdb
P09603,P16471,288.672938,P09603_P16471.pdb
P13591,P19320,43.704204,P13591_P19320.pdb
P01730,Q9NYK1,202.788965,P01730_Q9NYK1.pdb
Q9H4D0,Q9Y5H5,15.889843,Q9H4D0_Q9Y5H5.pdb
Q9BZA8,Q9Y5E5,-4.309506,Q9BZA8_Q9Y5E5.pdb
P20138,Q8NHL6,225.45558,P20138_Q8NHL6.pdb
P15391,Q08708,8.180483,P15391_Q08708.pdb
P46531,Q8IZJ1,17.228179,P46531_Q8IZJ1.pdb
P55289,Q9Y5F0,-2.795788,P55289_Q9Y5F0.pdb
P33151,O60245,-4.505218,P33151_O60245.pdb
P01730,P07204,29.197954,P01730_P07204.pdb
P32004,Q9H5Y7,16.308967,P32004_Q9H5Y7.pdb
P07333,P54762,-5.69427,P07333_P54762.pdb
Q9Y5H3,Q9Y5F6,-4.926044,Q9Y5H3_Q9Y5F6.pdb
O94985,Q9Y5F1,90.064537,O94985_Q9Y5F1.pdb
Q6V0I7,Q9Y5F8,-4.732647,Q6V0I7_Q9Y5F8.pdb
Q14954,Q8TD07,3.884485,Q14954_Q8TD07.pdb
Q9Y5E2,Q9UN70,-4.947764,Q9Y5E2_Q9UN70.pdb
O15197,P21860,14.286365,O15197_P21860.pdb
P08069,Q13477,21.011664,P08069_Q13477.pdb
P20333,P20333,50.555755,P20333_P20333.pdb
P16871,P28827,10.034885,P16871_P28827.pdb
Q08554,Q9UN73,0.85561,Q08554_Q9UN73.pdb
P09619,P10586,327.448966,P09619_P10586.pdb
Q5VT99,Q86UE6,49.158592,Q5VT99_Q86UE6.pdb
Q92637,P19320,12.808514,Q92637_P19320.pdb
Q9Y5H5,Q9Y5E4,-5.796987,Q9Y5H5_Q9Y5E4.pdb
Q9UKJ0,P13726,16.87999,Q9UKJ0_P13726.pdb
P54756,Q13308,29.521904,P54756_Q13308.pdb
Q9BWV1,P01730,109.241611,Q9BWV1_P01730.pdb
O15197,P22607,3.782259,O15197_P22607.pdb
Q12864,Q02413,5.608678,Q12864_Q02413.pdb
P20702,Q86YT9,116.425441,P20702_Q86YT9.pdb
P01732,Q14943,77.269333,P01732_Q14943.pdb
P01730,P05107,83.129981,P01730_P05107.pdb
Q9H158,Q9Y5G2,-5.033197,Q9H158_Q9Y5G2.pdb
Q8NHL6,Q96DU3,103.269137,Q8NHL6_Q96DU3.pdb
P40189,Q495A1,94.763574,P40189_Q495A1.pdb
Q9ULB4,Q9Y5F9,-1.866963,Q9ULB4_Q9Y5F9.pdb
P30511,Q14952,317.951697,P30511_Q14952.pdb
P01730,P00533,242.009767,P01730_P00533.pdb
Q9Y5G7,Q9Y5F9,-5.228428,Q9Y5G7_Q9Y5F9.pdb
P10721,Q15262,31.07813,P10721_Q15262.pdb
Q86UP0,Q02413,-2.892536,Q86UP0_Q02413.pdb
P78504,P19320,63.525454,P78504_P19320.pdb
Q13634,Q9Y5E3,-2.573706,Q13634_Q9Y5E3.pdb
P23468,O94933,14.355048,P23468_O94933.pdb
P15391,O95944,132.99876,P15391_O95944.pdb
Q8N6Y1,Q9Y5I2,-5.359491,Q8N6Y1_Q9Y5I2.pdb
Q9BWV1,Q02297,80.071183,Q9BWV1_Q02297.pdb
P29323,P12319,-4.777119,P29323_P12319.pdb
P23469,O14522,-1.124866,P23469_O14522.pdb
Q8NHL6,P35590,281.452197,Q8NHL6_P35590.pdb
P55285,Q9Y5E6,-2.921807,P55285_Q9Y5E6.pdb
Q7Z6A9,P06127,-4.7,Q7Z6A9_P06127.pdb
P00533,P21709,182.769926,P00533_P21709.pdb
P04626,Q9NZQ7,123.52071,P04626_Q9NZQ7.pdb
Q9BQT9,Q9NPG4,-3.417217,Q9BQT9_Q9NPG4.pdb
Q14118,P05362,8.848485,Q14118_P05362.pdb
Q9Y5E4,Q9Y5F0,-6.263741,Q9Y5E4_Q9Y5F0.pdb
P08648,P35968,122.569391,P08648_P35968.pdb
P05556,Q14114,73.825141,P05556_Q14114.pdb
P10721,Q9Y6N7,199.893142,P10721_Q9Y6N7.pdb
Q29983,Q8NET5,250.328434,Q29983_Q8NET5.pdb
P32927,P08887,317.450112,P32927_P08887.pdb
P04439,O95976,273.202833,P04439_O95976.pdb
O43157,Q8NFY4,-1.809169,O43157_Q8NFY4.pdb
Q9UQC9,P20702,356.988715,Q9UQC9_P20702.pdb
Q29983,Q99650,250.901216,Q29983_Q99650.pdb
P40189,Q9NR96,12.94469,P40189_Q9NR96.pdb
Q9BY67,P13612,49.474291,Q9BY67_P13612.pdb
Q9H756,Q86UE6,31.599572,Q9H756_Q86UE6.pdb
Q14118,P15151,62.685088,Q14118_P15151.pdb
Q9BYE9,Q9Y5G4,-4.920603,Q9BYE9_Q9Y5G4.pdb
Q9UM47,P16234,84.294197,Q9UM47_P16234.pdb
Q9NPY3,O60602,29.353503,Q9NPY3_O60602.pdb
P55286,Q9Y5E3,1.103581,P55286_Q9Y5E3.pdb
P01730,P56199,33.418893,P01730_P56199.pdb
Q8N0W4,Q9P2S2,85.064727,Q8N0W4_Q9P2S2.pdb
P29323,P19320,6.85253,P29323_P19320.pdb
P08138,P25942,-0.778065,P08138_P25942.pdb
P01732,Q14626,73.49307,P01732_Q14626.pdb
P54762,P03372,-2.098155,P54762_P03372.pdb
Q9Y5I0,O95206,-4.718587,Q9Y5I0_O95206.pdb
Q12864,Q8N6Y1,-4.730218,Q12864_Q8N6Y1.pdb
P06126,P00533,6.387186,P06126_P00533.pdb
P33151,Q9NPG4,-1.23272,P33151_Q9NPG4.pdb
P29016,P00533,-1.600243,P29016_P00533.pdb
P18084,Q9BRK3,3.737944,P18084_Q9BRK3.pdb
P05362,Q9Y6W8,258.095347,P05362_Q9Y6W8.pdb
Q14574,Q9HC56,-4.565924,Q14574_Q9HC56.pdb
P43626,P43629,228.740689,P43626_P43629.pdb
Q14943,Q8N423,67.29363,Q14943_Q8N423.pdb
P01920,P05538,10.069118,P01920_P05538.pdb
P12319,Q15109,71.748451,P12319_Q15109.pdb
Q02413,Q9Y5E5,1.096718,Q02413_Q9Y5E5.pdb
Q13634,Q9UJ99,5.093494,Q13634_Q9UJ99.pdb
Q13634,P55283,5.182174,Q13634_P55283.pdb
Q16832,P30530,46.364656,Q16832_P30530.pdb
P05556,Q8NET5,-1.49183,P05556_Q8NET5.pdb
Q9Y6N7,Q6ZN44,54.117043,Q9Y6N7_Q6ZN44.pdb
Q15109,P13726,59.858035,Q15109_P13726.pdb
P05362,Q9Y2C9,19.842456,P05362_Q9Y2C9.pdb
Q9NZN1,P08138,-2.786622,Q9NZN1_P08138.pdb
P30511,O60449,8.641423,P30511_O60449.pdb
Q02413,Q9Y5E3,5.71573,Q02413_Q9Y5E3.pdb
Q8TAB3,Q9UN70,-5.003393,Q8TAB3_Q9UN70.pdb
P05107,Q9NR97,339.415294,P05107_Q9NR97.pdb
Q9ULB5,Q9BZA8,3.025969,Q9ULB5_Q9BZA8.pdb
P09564,P14616,-1.97092,P09564_P14616.pdb
P16070,P03372,326.655716,P16070_P03372.pdb
P16070,P16871,325.996031,P16070_P16871.pdb
Q9ULB5,Q9Y5G2,-1.239486,Q9ULB5_Q9Y5G2.pdb
P05067,P08637,30.918202,P05067_P08637.pdb
Q9H158,Q9Y5F7,-4.916833,Q9H158_Q9Y5F7.pdb
Q5VT99,Q9P244,8.236214,Q5VT99_Q9P244.pdb
Q9H2A7,Q07954,102.155722,Q9H2A7_Q07954.pdb
P16410,P43489,1.096951,P16410_P43489.pdb
P23468,P23469,22.614222,P23468_P23469.pdb
Q9UN67,Q9Y5F8,-4.787138,Q9UN67_Q9Y5F8.pdb
P22223,Q9P2E7,-2.223991,P22223_Q9P2E7.pdb
Q9Y6W8,Q9BRK3,272.345288,Q9Y6W8_Q9BRK3.pdb
P07333,P35590,260.731205,P07333_P35590.pdb
P21860,O14511,11.164873,P21860_O14511.pdb
P12830,Q9Y5H2,2.172695,P12830_Q9Y5H2.pdb
P15260,P08575,193.509462,P15260_P08575.pdb
Q02413,Q9Y5F7,7.761374,Q02413_Q9Y5F7.pdb
P13688,P20701,227.361842,P13688_P20701.pdb
O60469,Q9Y6N7,97.469883,O60469_Q9Y6N7.pdb
Q15303,Q07699,20.569383,Q15303_Q07699.pdb
Q8N423,P08575,45.343512,Q8N423_P08575.pdb
P07333,Q8NHL6,50.932312,P07333_Q8NHL6.pdb
P16144,P32004,66.090309,P16144_P32004.pdb
P54289,Q8IZS8,122.681512,P54289_Q8IZS8.pdb
P24394,P08887,30.539824,P24394_P08887.pdb
P01732,Q13332,121.273165,P01732_Q13332.pdb
P16871,P32004,42.83524,P16871_P32004.pdb
Q9H251,O14917,-3.889892,Q9H251_O14917.pdb
Q86VH5,O94933,55.529432,Q86VH5_O94933.pdb
P13598,Q13349,28.884131,P13598_Q13349.pdb
P22455,Q02763,-4.499053,P22455_Q02763.pdb
Q01973,P36897,-3.891256,Q01973_P36897.pdb
P55283,Q9UN73,-2.020803,P55283_Q9UN73.pdb
Q14574,Q8TAB3,-2.408971,Q14574_Q8TAB3.pdb
Q5JZY3,P21860,14.427256,Q5JZY3_P21860.pdb
P04626,P35916,85.08522,P04626_P35916.pdb
O43157,O95754,7.34487,O43157_O95754.pdb
P01730,Q86YT9,18.931821,P01730_Q86YT9.pdb
Q13740,Q9Y6N7,46.814202,Q13740_Q9Y6N7.pdb
P55291,Q9Y5E8,-4.913008,P55291_Q9Y5E8.pdb
Q08554,Q9NRJ7,2.702276,Q08554_Q9NRJ7.pdb
P08069,Q92729,-0.725946,P08069_Q92729.pdb
Q9Y5E7,Q9Y5G6,-5.750581,Q9Y5E7_Q9Y5G6.pdb
Q9H159,Q9UJ99,-5.222442,Q9H159_Q9UJ99.pdb
P34925,Q02763,127.739923,P34925_Q02763.pdb
P54289,P13612,-3.305089,P54289_P13612.pdb
Q6UX41,P10966,196.441408,Q6UX41_P10966.pdb
P43146,P16871,296.371112,P43146_P16871.pdb
Q02846,P51841,-7.394707,Q02846_P51841.pdb
Q86SJ6,Q9Y5F2,2.178445,Q86SJ6_Q9Y5F2.pdb
P09564,P20701,-4.610178,P09564_P20701.pdb
Q8N3J6,P57087,91.779814,Q8N3J6_P57087.pdb
Q5JZY3,Q5JZY3,1.486572,Q5JZY3_Q5JZY3.pdb
P54753,Q02763,116.685023,P54753_Q02763.pdb
P18084,P31431,75.142257,P18084_P31431.pdb
P55283,Q9UN70,0.696424,P55283_Q9UN70.pdb
P08069,O94856,26.34868,P08069_O94856.pdb
P12830,Q6ZTQ4,-1.15711,P12830_Q6ZTQ4.pdb
P54762,Q01973,-0.300825,P54762_Q01973.pdb
O94985,Q9Y5E1,86.155264,O94985_Q9Y5E1.pdb
P10912,P48551,45.469,P10912_P48551.pdb
P00533,Q9NTN9,267.271563,P00533_Q9NTN9.pdb
P04626,Q06418,19.600255,P04626_Q06418.pdb
P00533,Q04721,71.637975,P00533_Q04721.pdb
P27930,Q01638,55.79349,P27930_Q01638.pdb
Q02487,Q96JQ0,-0.511524,Q02487_Q96JQ0.pdb
P19320,P98155,408.003084,P19320_P98155.pdb
P54762,P23471,151.229659,P54762_P23471.pdb
Q7Z6A9,P29017,259.261449,Q7Z6A9_P29017.pdb
P26012,Q9Y6N7,65.869503,P26012_Q9Y6N7.pdb
Q9BZA8,Q9Y5H6,-4.499842,Q9BZA8_Q9Y5H6.pdb
Q95460,Q29983,187.35349,Q95460_Q29983.pdb
Q9Y5H2,Q9Y5G0,-4.756592,Q9Y5H2_Q9Y5G0.pdb
P17301,P20916,27.511953,P17301_P20916.pdb
Q8TD84,P13591,13.909113,Q8TD84_P13591.pdb
Q9HCJ2,Q9Y4C0,5.55405,Q9HCJ2_Q9Y4C0.pdb
Q9UM47,Q92729,308.385485,Q9UM47_Q92729.pdb
P78504,Q99466,47.115275,P78504_Q99466.pdb
Q6V0I7,Q9Y5H2,-4.751637,Q6V0I7_Q9Y5H2.pdb
P40197,Q9BRK3,28.621399,P40197_Q9BRK3.pdb
Q02413,Q9Y5H0,6.548423,Q02413_Q9Y5H0.pdb
Q15762,Q9Y6N7,77.788593,Q15762_Q9Y6N7.pdb
P17301,Q15109,16.434959,P17301_Q15109.pdb
Q9Y5E3,Q9Y5G0,-5.259369,Q9Y5E3_Q9Y5G0.pdb
Q9Y6N8,A6H8M9,-4.081368,Q9Y6N8_A6H8M9.pdb
P29320,P11362,72.996092,P29320_P11362.pdb
P15151,P40200,124.641762,P15151_P40200.pdb
P13612,O14511,-0.814813,P13612_O14511.pdb
Q9Y5Y7,P35968,184.647651,Q9Y5Y7_P35968.pdb
P33151,Q9Y5I3,1.758333,P33151_Q9Y5I3.pdb
Q5ZPR3,Q9HCK4,68.12597,Q5ZPR3_Q9HCK4.pdb
O14917,Q9Y5F3,-5.410579,O14917_Q9Y5F3.pdb
O75078,Q9P0K1,-5.740224,O75078_Q9P0K1.pdb
Q13683,P32004,325.04666,Q13683_P32004.pdb
Q12864,Q9Y5E6,-5.073411,Q12864_Q9Y5E6.pdb
P18627,Q9NQ25,39.496595,P18627_Q9NQ25.pdb
P01730,P22607,110.04714,P01730_P22607.pdb
P16410,P04626,93.405483,P16410_P04626.pdb
Q9Y5H7,Q9UN72,-4.525292,Q9Y5H7_Q9UN72.pdb
P04629,Q16827,18.971826,P04629_Q16827.pdb
Q9Y6N8,Q9HCL0,5.142223,Q9Y6N8_Q9HCL0.pdb
P08887,P20701,20.601191,P08887_P20701.pdb
Q13873,O75787,73.629297,Q13873_O75787.pdb
O76036,O76036,12.999873,O76036_O76036.pdb
Q8IYV9,P19320,54.333741,Q8IYV9_P19320.pdb
Q9BQT9,Q9H158,0.709638,Q9BQT9_Q9H158.pdb
O14786,O95185,-2.587632,O14786_O95185.pdb
Q99075,P08648,167.749105,Q99075_P08648.pdb
P00533,Q9UHF4,18.695188,P00533_Q9UHF4.pdb
O60487,Q15223,8.505461,O60487_Q15223.pdb
P01732,Q92637,84.598553,P01732_Q92637.pdb
Q9UN73,Q9Y5G5,-4.73209,Q9UN73_Q9Y5G5.pdb
Q6Q8B3,O95297,269.451856,Q6Q8B3_O95297.pdb
P43627,Q8N423,32.743759,P43627_Q8N423.pdb
Q15223,P15151,182.063041,Q15223_P15151.pdb
P06340,P18627,24.350794,P06340_P18627.pdb
P10966,Q8N423,125.942467,P10966_Q8N423.pdb
P29322,P22455,1.077361,P29322_P22455.pdb
Q15399,Q9Y2C9,115.398585,Q15399_Q9Y2C9.pdb
Q9Y5F3,Q9UN70,-5.591455,Q9Y5F3_Q9UN70.pdb
A6H8M9,Q9Y5E5,-5.916669,A6H8M9_Q9Y5E5.pdb
Q8TDQ1,O75019,243.696697,Q8TDQ1_O75019.pdb
O60330,O60245,-4.002907,O60330_O60245.pdb
Q9H158,Q9Y5G3,-4.788585,Q9H158_Q9Y5G3.pdb
P15813,O95727,295.114991,P15813_O95727.pdb
Q5ZPR3,Q29980,15.105963,Q5ZPR3_Q29980.pdb
P06340,P05538,8.983129,P06340_P05538.pdb
O95727,O60603,1.719066,O95727_O60603.pdb
Q92823,P04629,35.066065,Q92823_P04629.pdb
P32926,O60330,3.435502,P32926_O60330.pdb
Q13291,Q495A1,238.555641,Q13291_Q495A1.pdb
P10747,Q8NHL6,264.124879,P10747_Q8NHL6.pdb
P29017,A6NI73,311.206231,P29017_A6NI73.pdb
P54760,O95297,-5.06211,P54760_O95297.pdb
Q9Y5G6,Q9Y5G0,-4.876986,Q9Y5G6_Q9Y5G0.pdb
O60487,Q9P1W8,13.315176,O60487_Q9P1W8.pdb
Q9H756,Q2I0M4,2.947097,Q9H756_Q2I0M4.pdb
Q7Z6A9,Q9NYK1,15.691042,Q7Z6A9_Q9NYK1.pdb
P32926,P16109,42.020643,P32926_P16109.pdb
P07333,Q04912,0.520204,P07333_Q04912.pdb
P98172,Q15768,-1.631577,P98172_Q15768.pdb
P14778,P05107,103.246193,P14778_P05107.pdb
P37173,P35590,-0.44853,P37173_P35590.pdb
P05067,Q15256,141.825894,P05067_Q15256.pdb
Q13477,O60500,382.74401,Q13477_O60500.pdb
O94985,Q9Y5H2,96.371824,O94985_Q9Y5H2.pdb
Q8TF66,Q14392,29.327664,Q8TF66_Q14392.pdb
Q01151,P01903,57.955798,Q01151_P01903.pdb
Q13740,Q96FE5,37.962335,Q13740_Q96FE5.pdb
P11362,P08648,86.700948,P11362_P08648.pdb
Q9Y6N8,Q9H4D0,2.562983,Q9Y6N8_Q9H4D0.pdb
Q14118,P40189,20.782774,Q14118_P40189.pdb
P32004,Q8NHL6,469.863435,P32004_Q8NHL6.pdb
P33681,P36897,13.897505,P33681_P36897.pdb
P18627,Q5T2D2,72.227181,P18627_Q5T2D2.pdb
P33681,P22455,86.601643,P33681_P22455.pdb
P00533,P22455,65.304996,P00533_P22455.pdb
Q9Y5E6,Q9Y5H2,-5.069851,Q9Y5E6_Q9Y5H2.pdb
P01889,P01889,177.133164,P01889_P01889.pdb
P32004,P16581,3.059311,P32004_P16581.pdb
O95727,P31785,12.58877,O95727_P31785.pdb
Q99075,P05106,40.232375,Q99075_P05106.pdb
Q9Y5E2,Q9Y5G5,-4.985263,Q9Y5E2_Q9Y5G5.pdb
P01732,Q9UIB8,128.113896,P01732_Q9UIB8.pdb
Q9Y5G5,O60330,-5.231117,Q9Y5G5_O60330.pdb
P16871,Q92956,-4.7,P16871_Q92956.pdb
Q9BZA7,Q9Y5H1,-4.172259,Q9BZA7_Q9Y5H1.pdb
O15197,Q15303,90.332706,O15197_Q15303.pdb
P12319,P13726,8.492316,P12319_P13726.pdb
P08069,P08648,173.163052,P08069_P08648.pdb
Q96PD2,Q96PD2,-4.043969,Q96PD2_Q96PD2.pdb
Q9Y5H9,Q9H158,-5.066307,Q9Y5H9_Q9H158.pdb
P19022,Q9Y5E9,-1.634907,P19022_Q9Y5E9.pdb
Q9HCK4,O94991,4.351366,Q9HCK4_O94991.pdb
P05067,Q13740,22.217207,P05067_Q13740.pdb
P13612,P26010,4.448638,P13612_P26010.pdb
Q02413,Q8N6Y1,1.304687,Q02413_Q8N6Y1.pdb
Q02487,O95206,-3.725124,Q02487_O95206.pdb
P00533,P14784,41.542922,P00533_P14784.pdb
Q86SJ6,Q9Y5F7,7.69719,Q86SJ6_Q9Y5F7.pdb
Q13651,P19320,19.299807,Q13651_P19320.pdb
Q9Y5I1,Q08174,-3.987893,Q9Y5I1_Q08174.pdb
P43626,Q14943,222.817548,P43626_Q14943.pdb
P16410,Q8NI17,-4.491479,P16410_Q8NI17.pdb
Q9HCJ2,Q9H5Y7,45.728072,Q9HCJ2_Q9H5Y7.pdb
P05106,P98155,421.785424,P05106_P98155.pdb
P06729,P24394,11.899795,P06729_P24394.pdb
P01732,P32004,104.069638,P01732_P32004.pdb
P11912,P13612,-3.744467,P11912_P13612.pdb
Q9P2E7,Q9Y5H4,-4.825765,Q9P2E7_Q9Y5H4.pdb
Q99075,O00206,154.730958,Q99075_O00206.pdb
P20273,P01732,283.14834,P20273_P01732.pdb
Q9BWV1,Q9C0C4,311.868389,Q9BWV1_Q9C0C4.pdb
P55283,O60330,2.578487,P55283_O60330.pdb
P55287,Q9UN67,-0.19213,P55287_Q9UN67.pdb
P29323,Q16620,144.119773,P29323_Q16620.pdb
P01889,P43628,304.226781,P01889_P43628.pdb
P10747,Q07954,164.77396,P10747_Q07954.pdb
Q9NY15,P35590,22.68332,Q9NY15_P35590.pdb
P13612,Q04721,46.178738,P13612_Q04721.pdb
Q9HBT6,Q9UN67,-0.248892,Q9HBT6_Q9UN67.pdb
O15197,P40189,446.922348,O15197_P40189.pdb
P04439,P14784,-4.68519,P04439_P14784.pdb
Q8TD84,Q13349,291.595874,Q8TD84_Q13349.pdb
P04440,P20701,5.429892,P04440_P20701.pdb
P06729,P37173,24.868873,P06729_P37173.pdb
Q13634,Q9Y5H2,0.87064,Q13634_Q9Y5H2.pdb
P78310,Q16288,98.092575,P78310_Q16288.pdb
P20701,O00206,461.479266,P20701_O00206.pdb
Q8TD84,P10912,374.108861,Q8TD84_P10912.pdb
Q9BYE9,Q9Y5E4,-5.098072,Q9BYE9_Q9Y5E4.pdb
Q9UF33,P30530,87.571982,Q9UF33_P30530.pdb
P33151,Q9Y5E6,-1.230038,P33151_Q9Y5E6.pdb
P10586,P35968,217.823219,P10586_P35968.pdb
Q9BWV1,O94856,64.933935,Q9BWV1_O94856.pdb
Q9Y5I4,Q08174,-3.532381,Q9Y5I4_Q08174.pdb
P05067,O75144,70.850346,P05067_O75144.pdb
Q14943,P16471,16.320248,Q14943_P16471.pdb
Q99075,P40189,169.596074,Q99075_P40189.pdb
P26842,P32004,-5.216155,P26842_P32004.pdb
P03372,Q9P244,326.068273,P03372_Q9P244.pdb
P16410,P17301,-1.281443,P16410_P17301.pdb
Q02763,P30530,165.882208,Q02763_P30530.pdb
P13688,P78324,264.12248,P13688_P78324.pdb
Q9UF33,P17948,35.368531,Q9UF33_P17948.pdb
Q02487,Q9Y5E3,-0.247137,Q02487_Q9Y5E3.pdb
P37023,P31431,41.701594,P37023_P31431.pdb
Q9Y5E2,Q9Y5F7,-4.928746,Q9Y5E2_Q9Y5F7.pdb
P05107,Q9UIB8,35.568699,P05107_Q9UIB8.pdb
Q7Z6A9,P12319,232.278713,Q7Z6A9_P12319.pdb
P42081,O14931,48.129413,P42081_O14931.pdb
Q13705,P35968,14.284173,Q13705_P35968.pdb
P43146,O14786,-3.073225,P43146_O14786.pdb
Q99965,Q9H2U9,-4.391084,Q99965_Q9H2U9.pdb
Q08554,Q9Y5H4,2.457458,Q08554_Q9Y5H4.pdb
Q86SJ6,Q6V0I7,5.633801,Q86SJ6_Q6V0I7.pdb
P05067,P23469,10.156054,P05067_P23469.pdb
Q5ZPR3,P06729,117.501859,Q5ZPR3_P06729.pdb
P20273,P26010,68.953401,P20273_P26010.pdb
Q15762,Q9UIB8,33.004198,Q15762_Q9UIB8.pdb
O95976,P20333,2.160629,O95976_P20333.pdb
P29016,P13747,301.191761,P29016_P13747.pdb
P43121,Q92692,69.837929,P43121_Q92692.pdb
P22607,P22607,72.706707,P22607_P22607.pdb
O75309,P55283,0.981439,O75309_P55283.pdb
P19256,P19320,85.294338,P19256_P19320.pdb
Q13145,P10721,206.405764,Q13145_P10721.pdb
P29376,P35590,54.574806,P29376_P35590.pdb
P12319,O76036,11.700482,P12319_O76036.pdb
Q9Y5H7,Q9Y5H0,-4.43153,Q9Y5H7_Q9Y5H0.pdb
Q15262,P35590,98.592444,Q15262_P35590.pdb
P36894,Q9BY67,30.560068,P36894_Q9BY67.pdb
P37023,P09603,147.291846,P37023_P09603.pdb
Q16288,Q01973,243.661863,Q16288_Q01973.pdb
Q9H756,Q9H756,-9.619508,Q9H756_Q9H756.pdb
Q8N6Y1,Q9Y5E5,-5.566906,Q8N6Y1_Q9Y5E5.pdb
P05067,O43291,130.570156,P05067_O43291.pdb
P26842,P08138,0.09101,P26842_P08138.pdb
P22455,P30530,159.557719,P22455_P30530.pdb
Q9Y5H6,Q9Y5I1,-5.230948,Q9Y5H6_Q9Y5I1.pdb
Q14392,Q8WUT4,30.453963,Q14392_Q8WUT4.pdb
P24071,P12314,298.566138,P24071_P12314.pdb
Q13683,P18564,-8.618168,Q13683_P18564.pdb
P55287,Q9Y5H2,-0.909438,P55287_Q9Y5H2.pdb
O94856,Q9H2E6,276.045191,O94856_Q9H2E6.pdb
Q9Y5E3,Q9Y5H2,-5.413795,Q9Y5E3_Q9Y5H2.pdb
Q92692,P78423,3.261356,Q92692_P78423.pdb
P05067,Q06481,-5.227144,P05067_Q06481.pdb
P09693,P16410,-2.010838,P09693_P16410.pdb
A6H8M9,Q9UN66,-5.905337,A6H8M9_Q9UN66.pdb
Q9BZA7,Q9Y5F1,-3.492515,Q9BZA7_Q9Y5F1.pdb
P05106,Q9BQ51,-4.891173,P05106_Q9BQ51.pdb
Q8N2Q7,Q92823,154.647936,Q8N2Q7_Q92823.pdb
Q9Y5I0,Q9H158,-4.338934,Q9Y5I0_Q9H158.pdb
P16410,Q9Y6W8,-4.716891,P16410_Q9Y6W8.pdb
Q9H251,Q86UP0,-1.784564,Q9H251_Q86UP0.pdb
P08648,P05107,105.952435,P08648_P05107.pdb
Q96PX8,Q9H5Y7,31.941535,Q96PX8_Q9H5Y7.pdb
P32004,Q92859,32.300042,P32004_Q92859.pdb
